UNIVERSITY INTERSCHOLASTIC LEAGUE
OFFICIAL CONCERT & SIGHTREADING CONTEST RESULTS
"Contest Date","Event","Region","School","TEA Code","City","Director","Additional Director","Accompanist","Conference","Classification","Non-Varsity Group","Entry Number","Title 1","Composer 1","Title 2","Composer 2","Title 3","Composer 3","Concert Judge","Concert Judge","Concert Judge","Concert Score 1","Concert Score 2","Concert Score 3","Concert Final Score","Sight Reading Judge","Sight Reading Judge","Sight Reading Judge","Sight Reading Score 1","Sight Reading Score 2","Sight Reading Score 3","Sight Reading Final Score","Award"
"03/07/2006","931-Mixed Chorus","20","Bill Arnold Middle School","","Grand Prairie","Cheryl Walker","","","CC","Non-Varsity","","19285","River Sing Your Song","Eugene Butler","How Fair A Rose","Jay Althouse","Set Down Servant","Roger Emerson","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","1","2","2","2","Stephen Evans","Tom Jennings","Michael Pricer","3","3","3","3",""
"03/07/2006","931-Mixed Chorus","20","Brooks Wester Middle School","","Mansfield","Natalyn Whitis","","","CCC","Varsity","","19964","Sing Praise  Alleluia (3-part mixed) (SAB) (keyboard)","Crocker","Ju me leve un bel maitin (French)","Goodale (arr)","River in Judea","Leavitt","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","1","1","1","1","Stephen Evans","Tom Jennings","Michael Pricer","2","1","1","1","TRO"
"03/07/2006","931-Mixed Chorus","20","Byrd Middle School","","Duncanville","Jane Dunn","","","CCC","Varsity","","19847","Sing Praise  Alleluia (3-part mixed) (SAB) (keyboard)","Crocker","The Fiddler (from Six Folks Songs)","Brahms","The River Sleeps Beneath The Sky","Lightfoot","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","2","2","2","2","Stephen Evans","Tom Jennings","Michael Pricer","3","3","3","3",""
"03/07/2006","931-Mixed Chorus","20","Coppell MS West","","Coppell","Betty Alvey","","","CC","Varsity","","19520","Sing Praise  Alleluia (3-part mixed) (SAB) (keyboard)","Crocker","In These Delightful Pleasant Groves (3-part mixed)","Purcell/Robinson","Exsultate","Lightfoot","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","1","1","1","1","Stephen Evans","Tom Jennings","Michael Pricer","DQ","DQ","DQ","DQ","PLQ"
"03/07/2006","931-Mixed Chorus","20","Dealey Montessori","","Dallas","Rene Schmidt","","","C","Varsity","","20003","Lift Up Your Voice! (SAB) (optional flutes)","Lully/Liebergen (ed)","Journey Onward","Erck","Come  Live With Pleasure (SAB  optional solo)(optional flutes)","Handel/Liebergen (ed)","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","2","3","3","3","Stephen Evans","Tom Jennings","Michael Pricer","1","1","2","1","PLQ"
"03/07/2006","931-Mixed Chorus","20","Frank Seale Middle School","","Midlothian","Patsy Patty","","","CC","Non-Varsity","","19452","Set Me As a Seal","Leavitt/Crocker (ed)","Didn't My Lord Deliver Daniel (SAB)","Emerson (arr)","The Turtle Dove","Spevacek","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","1","1","1","1","Stephen Evans","Tom Jennings","Michael Pricer","1","1","1","1","TRO"
"03/07/2006","931-Mixed Chorus","20","Highland Park Middle School","","Dallas","Tara Wilson","","","CCC","Non-Varsity","","19788","My Love Is Like a Red  Red Rose (SAB)","Williams/Wimberly","Come in from the Firefly Darkness (SAB  soprano  alto  baritone soli)","Bernon","Elijah Rock","","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","2","2","2","2","Stephen Evans","Tom Jennings","Michael Pricer","2","2","2","2",""
"03/07/2006","931-Mixed Chorus","20","Permenter Middle School","","Cedar Hill","Tim Glazner","","","CCC","Varsity","","19943","Now the Eventide Approaches (SAB)","Beethoven/Burkhart (ed)","Miserere Nobis (Latin) (SAB)","Johnson","Tambourica (SAB)","Kirk (arr)","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","5","5","4","5","Stephen Evans","Tom Jennings","Michael Pricer","5","5","5","5",""
"03/07/2006","931-Mixed Chorus","20","Reagan Middle School","","Grand Prairie","Trevlyn Nipper","","","CC","Non-Varsity","","20212","Reeds of Innocence (SAB  optional solo)","Adams","Come  Celebrate this Festive Day (from Three New Madrigals) (SAB)","Althouse","Get On Board","","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","3","3","2","3","Stephen Evans","Tom Jennings","Michael Pricer","3","3","3","3",""
"03/07/2006","931-Mixed Chorus","20","Reed Middle School","","Duncanville","Gerald Burnett","","","CCC","Non-Varsity","","19880","Didn't My Lord Deliver Daniel (SAB)","Emerson (arr)","Come Again  Sweet Love (SAB)","Printz","Sing a Joyful Song (SAB)","Gray","Kari Gilbertson","Leigh Ann McClure","Mary Jane Phillips","2","2","3","2","Stephen Evans","Tom Jennings","Michael Pricer","5","5","5","5",""
